source_path,label,action,reason,output_path,duplicate_of,image_format,width,height,sha256,dhash,entropy,edge_density,frame_count
data\raw\ascending_triangle\ascending_triangle_0011.jpg,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0011.png,,jpg,995,548,b67231271a355d57e42a62c12ca8669094c752abbadc12db681755bec3c14a3a,1b66627a68c713a3,2.492883014496316,0.024503920777495605,1
data\raw\ascending_triangle\ascending_triangle_0012.png,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0012.png,,png,1024,520,547d8b3548774f0060ccad646147df3de9cd7c64938900580a5f926d3fb421f1,0169756cce830766,2.459059342191724,0.07339354732277527,1
data\raw\ascending_triangle\ascending_triangle_0013.png,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0013.png,,png,1024,487,9c983d979df137de3b5b8e5f36f81acbf2f81d59872483dfd1c03d023d0e417b,947403e7b4b30383,1.6059200693878584,0.03917074481871804,1
data\raw\ascending_triangle\ascending_triangle_0014.png,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0014.png,,png,1000,670,81d036f6d09b7a340fb313aae22936bba5da944a6cb22c40c5adba97c894ead2,80a63c31b1a49268,3.0121522833423735,0.029932701199882936,1
data\raw\ascending_triangle\ascending_triangle_0015.png,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0015.png,,png,720,500,ae31270a082173ac8a012e5554148da93c52673d17c16c001ccbf20e7867908f,535355633329697c,2.579030530886768,0.05229384531590414,1
data\raw\ascending_triangle\ascending_triangle_0016.png,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0016.png,,png,1041,545,6d4d8582461408a209d1f26d1b0b1f6a2107d062864e74ddea8bde78f6b7d8de,c141b7f2da6c600b,0.9342440687438258,0.07127487355534094,1
data\raw\ascending_triangle\ascending_triangle_0017.png,ascending_triangle,quarantine,perceptual_duplicate,data\quarantine\perceptual_duplicate\ascending_triangle\ascending_triangle_0017.png,data\raw\ascending_triangle\ascending_triangle_0013.png,png,1280,609,5ec67371a2857a129eb3ac29306c88c4a7c5342a49c3ab8d0dcacc91b3ed8470,957403e7b4b303a3,0.5086608025815226,0.027875057350526415,1
data\raw\ascending_triangle\ascending_triangle_0018.png,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0017.png,,png,932,550,54dceda18d6d5bbeb25ed01d0213a7a929b49e4d3df4d7458e6a3216e4f948c1,c9a3364ceee60608,4.170834128967521,0.041165247527024856,1
data\raw\ascending_triangle\ascending_triangle_0019.jpg,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0018.png,,jpg,1015,637,923720fe655b284319e3fcd581a556b7fcb4db76dad08c384a9ab228c91c5663,7069191665c89240,2.451696155550578,0.025795467106888226,1
data\raw\ascending_triangle\ascending_triangle_0020.jpg,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0019.png,,jpg,1200,800,23a07d10b8cdd2439a04d9b9dd13c6654694d4cee12d49b570ef747ae72ad7b8,2b0929235f3f8b13,5.47398531578052,0.03662615604575164,1
data\raw\ascending_triangle\ascending_triangle_0021.png,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0020.png,,png,1608,910,df78c2a0c922a4dfd1bb67495b2064e64b53133164c25f4ca4bc66c06283d6df,2515d169894c0f01,1.3189242365177436,0.04190367651078801,1
data\raw\ascending_triangle\ascending_triangle_0022.jpg,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0021.png,,jpg,257,236,a7ea31665fb6cf0715ecffe2f905347ae145485298d9fa4b5ee44f70cd553f8e,01023c68e181e4d4,2.6014589878993677,0.06296176321877428,1
data\raw\ascending_triangle\ascending_triangle_0023.png,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0022.png,,png,750,485,9c9410d391cfdc09f5fe032e556df9af19b5e1d428891651c0c9266ad55709ee,c4cc022cccac2204,0.5396108023150317,0.03518985513105586,1
data\raw\ascending_triangle\ascending_triangle_0024.jpg,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0023.png,,jpg,734,432,7699356a5b57ea125ad5ae4f587bd628a45588cf35735e9c445096e4495eebd7,7f7ff92961efffff,5.9822375082730295,0.04038105831695883,1
data\raw\ascending_triangle\ascending_triangle_0025.jpg,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0024.png,,jpg,1536,1280,85164d71bb29df943726fbb07e82db670a00f9d8d7f22311040c137875f1ae71,270634d071a18375,2.1978807224783665,0.030425770080167485,1
data\raw\ascending_triangle\ascending_triangle_0026.png,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0025.png,,png,2304,1085,90c8aa13d1a49ecb94ea419b4d255766003a89b50c4d27f1a842310dc620dc37,7464725662767c10,1.1260615790032882,0.019487182865977934,1
data\raw\ascending_triangle\ascending_triangle_0027.jpg,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0026.png,,jpg,736,1104,f5acd5bb3a6419553707d098f8b1d4435c1cab2144d2af0a91da850a8d3a796a,0068982667f13300,2.3324117719963215,0.03812575676143173,1
data\raw\ascending_triangle\ascending_triangle_0028.jpg,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0027.png,,jpg,826,729,2cb080f5b362cab56b13a303d49c2a2e653b7c1124ec5fe144ae687753db0350,608883a0216e1a26,2.6183838650787794,0.05363033637346501,1
data\raw\ascending_triangle\ascending_triangle_0029.jpg,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0028.png,,jpg,1024,1280,487f7e5e3bbd52af9a7d2ba95df7bef24d2e7257cf5f96cfe4af70d36830b24f,a4cc83f20c8e6231,2.6006743230989784,0.0410227128571155,1
data\raw\ascending_triangle\ascending_triangle_0030.jpg,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0029.png,,jpg,736,1104,b842c2eaff5c85498268e9033314ed0bacd65195bfecaaba11cf466a7792a442,313140713b47080c,1.7519565324098603,0.03049520286611809,1
data\raw\ascending_triangle\ascending_triangle_0031.jpg,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0030.png,,jpg,736,736,09db686c5d7f51100fdde2785b0a53ad18d36676c0336c5e2f6d45802c29a691,da5986a6272b2ed0,3.4126173669825337,0.04027112233125764,1
data\raw\ascending_triangle\ascending_triangle_0032.jpg,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0031.png,,jpg,696,704,9a857274eb090003d95fe52ce3df91ded076f1667af68561148b6ae9d54b8c5a,1cd2c6b4a8480048,1.980824459885453,0.044596278133771795,1
data\raw\ascending_triangle\ascending_triangle_0033.jpg,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0032.png,,jpg,1800,1200,7f3a82967178868262007f60a0165d95d0f1a4b12e9c7412c9403f45e383e11e,c8d03c6a3371828b,1.7717841851981797,0.032754353667392884,1
data\raw\ascending_triangle\ascending_triangle_0034.png,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0033.png,,png,1064,738,17c4c80a933f2e5db8079fbf73a4484b480aa3ea53c89dd067b6bb5c5f0ddc22,1604ccd0a0203802,0.5465153196803427,0.029498667959552954,1
data\raw\ascending_triangle\ascending_triangle_0035.png,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0034.png,,png,975,439,3f17751dcc63461cd4c724a2f88f80fe037f45c2b7be88ec67ff98b5e73d589f,b733b0b18591b16d,1.8145583136506984,0.0641966350233803,1
data\raw\ascending_triangle\ascending_triangle_0036.png,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0035.png,,png,768,480,7b1960cccfab8cdbaca27f058dc7711b7443aa45a2baefac2bd4bee2d119f62c,307210c0d0c0dcd0,1.96618367749171,0.03248864932257625,1
data\raw\ascending_triangle\ascending_triangle_0037.png,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0036.png,,png,1024,648,e77e93a89a59322c0436816c3feb07e11ac310c14e663d9409adb259b1d5c2cb,b939c1e1783c4c09,1.35043646097446,0.03974109983017127,1
data\raw\ascending_triangle\ascending_triangle_0038.png,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0037.png,,png,1024,735,ee7ba9b9160cd097cfd086c4ccddffc6daa1403cab8656a56a9a34027e7fbbf3,037a765c30201292,0.8030332711988135,0.029931342328598103,1
data\raw\ascending_triangle\ascending_triangle_0039.png,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0038.png,,png,1341,851,432768468e6d6c44d59e963bf0baba97b6dcbc2ed77df4aa7946b9e79e4a9956,77266dd191810332,0.5408675746933763,0.030485618731211687,1
data\raw\ascending_triangle\ascending_triangle_0040.jpg,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0039.png,,jpg,1536,815,4868fe2271f1f4333e9479b50116086aef19f0834035621024a49f036269514b,030093cb2c191005,1.8552072829648667,0.03183545037391234,1
data\raw\ascending_triangle\ascending_triangle_0041.png,ascending_triangle,quarantine,perceptual_duplicate,data\quarantine\perceptual_duplicate\ascending_triangle\ascending_triangle_0041.png,data\raw\ascending_triangle\ascending_triangle_0037.png,png,1341,849,54fc0a30d263c0f2ec4b21c2a33c7860b5a0bc2482eecf53f702218895b65a64,b939c1e1783c4c09,0.7549327856617671,0.038010157040790145,1
data\raw\ascending_triangle\ascending_triangle_0042.webp,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0040.png,,webp,1024,597,e420702b1422e6824d1404984b144b1f5d762e7eca1efe93debec3adcc1dae58,297ce40d38626067,5.079421981827277,0.05420105660040398,1
data\raw\ascending_triangle\ascending_triangle_0043.jpg,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0041.png,,jpg,1280,720,a5e2a8ad170a22a2e72b6636e1c048932228c1415142797fe92d8c65650ef964,0f83dad8dacccc2c,4.992740024341065,0.03163922930283224,1
data\raw\ascending_triangle\ascending_triangle_0044.png,ascending_triangle,quarantine,bad_aspect_ratio,data\quarantine\bad_aspect_ratio\ascending_triangle\ascending_triangle_0044.png,,png,1201,323,fc0cec4a34981859db54cd29963f05868f7f3410fb7961b121b88c952ec5d29b,af0ba9e484871f33,4.324700504776612,0.04708186226365016,1
data\raw\ascending_triangle\ascending_triangle_0045.jpg,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0042.png,,jpg,900,619,93aa0fbbf3b13be540f1a3dc48ee238df96bb9f829015a32def8bd76aff629b9,3e823838e3966e6c,2.2647239075660823,0.10615409631811798,1
data\raw\ascending_triangle\ascending_triangle_0046.png,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0043.png,,png,757,546,323571fa0d6c2c4dda8ce09481aa0eb253d7044d7dde496cfc036be8c981cada,506072daf2a03200,0.772409964256692,0.03682193942509429,1
data\raw\ascending_triangle\ascending_triangle_0047.jpg,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0044.png,,jpg,1061,544,657a8e486ec0bb11f8ab5ce14b52408883c70df52b0acbc1e639632b19be6716,412183d973665c56,2.1993891064210427,0.07127522184790089,1
data\raw\ascending_triangle\ascending_triangle_0048.png,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0045.png,,png,1280,720,d3d0c20d59959a52952048267c75e10e2fe1de582de8ca0971a936c83f514e33,38236b2727272721,5.39841200828989,0.03754255599809368,1
data\raw\ascending_triangle\ascending_triangle_0049.jpg,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0046.png,,jpg,1300,1390,ec8348f95ac863d41fb77e622cdb72cf38750546ee71c4316610c8276260c808,0a06d4d8a00e00d0,1.3373394642450445,0.015140449450394436,1
data\raw\ascending_triangle\ascending_triangle_0050.jpg,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0047.png,,jpg,1600,1085,be22f697537904751cf083612fcede8a36ccdf7e1b7f0759a60eb8d042317740,05051d395d994f4e,2.3707796210865286,0.04914978539803018,1
data\raw\ascending_triangle\ascending_triangle_0051.png,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0048.png,,png,791,511,3300d8f88790e09024bceac43dbdebec554ce2f223ffebe3eaf520b949586fad,e028d4d06044b012,0.6665044488239932,0.029162621528184555,1
data\raw\ascending_triangle\ascending_triangle_0052.jpg,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0049.png,,jpg,1497,1080,62f84d6ea699457a2bc666ba9fb26cd2227cddcc3c49c66ac2d1438631b855dc,93c8e9a14cc44425,4.437311698357513,0.017895709113700652,1
data\raw\ascending_triangle\ascending_triangle_0053.jpg,ascending_triangle,quarantine,perceptual_duplicate,data\quarantine\perceptual_duplicate\ascending_triangle\ascending_triangle_0053.jpg,data\raw\ascending_triangle\ascending_triangle_0025.jpg,jpg,1800,1500,9b397957b133bd3d55edb5ce5bea0585288fe936fef40d521d7b6bd4fabee72e,070634d071a18175,1.9821512261502168,0.027752111837327523,1
data\raw\ascending_triangle\ascending_triangle_0054.png,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0050.png,,png,1081,660,7e8660f625d6ec1d8b512eb836c02f92073973c6faef75f16b9d00d279a9bcdc,2424192972664906,2.7633816626808523,0.025950350762344015,1
data\raw\ascending_triangle\ascending_triangle_0055.jpg,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0051.png,,jpg,1000,778,9b9a6901580017e59ce0fed14c2e54d754390af55188ac94d28bd9ce83dfcde5,069df960e0386363,2.455422278564058,0.04250942083774384,1
data\raw\ascending_triangle\ascending_triangle_0056.png,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0052.png,,png,1280,809,5b515c025e45e2b7863ec42532cdc0aba8fb7111ab8fa6c15ece6eb44ff7f971,e8d4d4c4ccd4d468,1.6449358856584684,0.02377675552606704,1
data\raw\ascending_triangle\ascending_triangle_0057.png,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0053.png,,png,720,406,5ea93b07d62e29f60aec0500b4230510c2f2c663c49b3beebeafd0de8848fc66,0911024861234080,2.0249982486041116,0.014188882449531537,1
data\raw\ascending_triangle\ascending_triangle_0058.png,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0054.png,,png,480,360,9167c77794c470a4b2b6bf52b83f976a41085633ca19fb493ca1ca0510700eb6,26d4586aac8d9c2c,1.8093656684523551,0.05364692265795207,1
data\raw\ascending_triangle\ascending_triangle_0059.png,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0055.png,,png,555,381,67907de1df04d969514505b7ffdb1b0e696228af1ba07b579244a916d8015d12,666604c4c9f044d2,1.1073691104765837,0.058187024449182854,1
data\raw\ascending_triangle\ascending_triangle_0060.png,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0056.png,,png,526,490,2be179aed12586beeaea878434b581d33c381396b49ef9369cb3cb08ab4deee5,8ecc2ab3a060849c,2.924158208636057,0.06254583962862711,1
data\raw\ascending_triangle\ascending_triangle_0061.png,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0057.png,,png,1536,1024,31fa52d91c8ea52f1790e17558d9985d0e6c61e4b97a13c68dfecc9e9a6a0a22,6929696969692d69,4.429261007732658,0.03390414169411254,1
data\raw\ascending_triangle\ascending_triangle_0062.png,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0058.png,,png,1640,1080,373b509b1dc1f7c950e474ca875142b3a7fdc27899877bb29f5f836221ad3d35,a6b29a163e929216,2.5811138985351634,0.04311971721841401,1
data\raw\ascending_triangle\ascending_triangle_0063.jpg,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0059.png,,jpg,1024,640,c93d046c18c10a8d833f766f04f36c4ec915c51067a4d93887e77ff208d92164,dccc037079f0c9cb,3.4861015751178512,0.04062273212507659,1
data\raw\ascending_triangle\ascending_triangle_0064.jpg,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0060.png,,jpg,696,362,b5eb63381237e544b4f55119f4f4c1df2202cec4fcc85757626d9bfdea45bbad,30c9cbde3c737408,1.653192044161136,0.033587178759228335,1
data\raw\ascending_triangle\ascending_triangle_0065.png,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0061.png,,png,500,353,e1056fcfdd77698f9abad6da1aef710c14fa8743affe2ff59e582b798348f349,d6b6746cf0e0c810,1.0996162434168255,0.05876471699161251,1
data\raw\ascending_triangle\ascending_triangle_0066.jpg,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0062.png,,jpg,1495,779,dcf623cd263ba6cf2fa6301d6893b25cc485ff571d5e6e849d53822532f5ce2a,010b121c98614894,1.2340982608946294,0.0324411533625261,1
data\raw\ascending_triangle\ascending_triangle_0067.jpg,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0063.png,,jpg,564,760,408f51b09f98f4d63216b2c241d373a09b61ac6bfacdf3b99ccf0920b801a073,c8ec0063721c8082,2.8973411680235595,0.05348710742228956,1
data\raw\ascending_triangle\ascending_triangle_0068.png,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0064.png,,png,1018,666,d5345eb42396f2f5dc4c34d99f282e5aaafef83313b1f8f906ab58a14f599f1e,2555915d392a6115,0.3287028999433817,0.058345581222040255,1
data\raw\ascending_triangle\ascending_triangle_0069.jpg,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0065.png,,jpg,947,946,f7036ea0d383c63b0e09a62ec6cab9259a2487c71702648f9f6984c0f46d57dc,131346950f2f2d2f,2.5793082901864155,0.03044796684153166,1
data\raw\ascending_triangle\ascending_triangle_0070.jpg,ascending_triangle,quarantine,perceptual_duplicate,data\quarantine\perceptual_duplicate\ascending_triangle\ascending_triangle_0070.jpg,data\raw\ascending_triangle\ascending_triangle_0004.jpg,jpg,1024,536,6858081e6c534d93e69f1ac37bc5f471205d17014b8c1ebfa6d2780dfd692e0f,466409aab3d1a20a,3.7017521662075854,0.06390982815700907,1
data\raw\ascending_triangle\ascending_triangle_0071.jpg,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0066.png,,jpg,1080,1080,00e07b71df9a7a1b3f7821bfe26c5314be0f1f2645ac965c0efb6925495d4be7,6d49926ddb3449db,3.7243068145775715,0.03055306422980715,1
data\raw\ascending_triangle\ascending_triangle_0072.jpg,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0067.png,,jpg,1920,1080,556e6e2ea3791281be8044058a6f409dacd47fdd2f53be39be11734426bf19c2,01134d1831e18521,1.8332176378498266,0.03849529850520455,1
data\raw\ascending_triangle\ascending_triangle_0073.jpg,ascending_triangle,quarantine,perceptual_duplicate,data\quarantine\perceptual_duplicate\ascending_triangle\ascending_triangle_0073.jpg,data\raw\ascending_triangle\ascending_triangle_0063.jpg,jpg,1280,800,2780aaa5c2d7c4bcb8bb54d3bcd5517188d364b199cc3761a95f1dde8c6d64ff,cccc037079f0c9cb,3.4262490400452497,0.034897966452205886,1
data\raw\ascending_triangle\ascending_triangle_0074.jpg,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0068.png,,jpg,1024,650,8ddcd17b07f118ad19b15b7154a964a26fee33a08446ca3efeee14387236880a,697896f0e990c6ca,3.3596147456280794,0.03371337669683258,1
data\raw\ascending_triangle\ascending_triangle_0075.png,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0069.png,,png,1500,914,3bcfa33578059c9c8038a34bc769205c7313e379445a3cfd4a79d85326141c96,69c8c4fcc1c1d134,0.92554694391292,0.028026604310579083,1
data\raw\ascending_triangle\ascending_triangle_0076.jpg,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0070.png,,jpg,1056,787,660076eaa495aa6214d0a65dba74b335412d1afe5ef023a2ef9a1718cf292046,80a86c3470608080,0.5887465246008754,0.021729312898776235,1
data\raw\ascending_triangle\ascending_triangle_0077.jpg,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0071.png,,jpg,1920,1080,65814588a54584d2e23ee30775de41f24539ffa7b8d8421456a7b30c7be80f68,2f63861333273d43,3.8976280382988575,0.021653267595618492,1
data\raw\ascending_triangle\ascending_triangle_0078.png,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0072.png,,png,934,660,43204f59b3d86e997881c496f95dbfc7ae9a80805c597daeca1035b766281114,6666646cf8e24800,0.31504908734531883,0.023897947862552976,1
data\raw\ascending_triangle\ascending_triangle_0079.jpg,ascending_triangle,quarantine,perceptual_duplicate,data\quarantine\perceptual_duplicate\ascending_triangle\ascending_triangle_0079.jpg,data\raw\ascending_triangle\ascending_triangle_0027.jpg,jpg,736,1104,df7ef3a9795091209f9e233f48d46bda22eeb558a64721def6dda7a4fb4e3eb9,0068982667f13300,2.3546337059657314,0.03825489365957473,1
data\raw\ascending_triangle\ascending_triangle_0080.jpg,ascending_triangle,quarantine,perceptual_duplicate,data\quarantine\perceptual_duplicate\ascending_triangle\ascending_triangle_0080.jpg,data\raw\ascending_triangle\ascending_triangle_0010.jpg,jpg,1080,1080,96717135a91b89aa5426336aea1f9a5cb1d9a0ed66cccb94d645d38d5dffbba7,ecec0e7c58e08480,1.1543524536325425,0.0244490942467522,1
data\raw\ascending_triangle\ascending_triangle_0081.png,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0073.png,,png,1500,1332,8f15466239d18608ea9efac1e0a561b56159011e6fb493272f10c2c44b4321ae,8cd69ca9b9c99618,1.9468190909717713,0.024333882902510356,1
data\raw\ascending_triangle\ascending_triangle_0082.jpg,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0074.png,,jpg,1640,1030,a64094a1367aeb5d01d621af1bc147c06f6adbe2e226bb90524d4c440c957ccd,c4c8e44cdaf0c6d6,1.6652293783170304,0.020827640883490504,1
data\raw\ascending_triangle\ascending_triangle_0083.jpg,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0075.png,,jpg,2000,1000,9d36bac385ef144e459556f5945b2541c235a2f53e323659136087ec4736d941,190174525cbd9192,7.044271499498803,0.02667097843137255,1
data\raw\ascending_triangle\ascending_triangle_0084.jpg,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0076.png,,jpg,1024,643,7381e89e18147483bc064b1819b69b007b073adf070c35fec1316aef5df25abd,41750d07636f8901,6.028913162072263,0.03742990477197878,1
data\raw\ascending_triangle\ascending_triangle_0085.png,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0077.png,,png,960,600,d3b44a9e38cfd591be917385a36edde66f570bac041fe630482023d03a912b29,49e2864b762c6652,1.6334995529807348,0.04482262391067538,1
data\raw\ascending_triangle\ascending_triangle_0086.jpg,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0078.png,,jpg,1500,1065,8b3164c3df584d8ba373ece1fee68e323d0f81b11ddc3b1b7fa3cc06907a2dec,1903178eb5332244,5.0042170337746565,0.01125304121022431,1
data\raw\ascending_triangle\ascending_triangle_0087.jpg,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0079.png,,jpg,1080,1080,e8241ac12f5fa5f466f52331a52dd38e0b5559f12b19739670823f950cc3423c,ece64ceeceb48410,2.6031013267864727,0.025021678904758062,1
data\raw\ascending_triangle\ascending_triangle_0088.png,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0080.png,,png,750,485,a5288faa261b024344e01b9d7333bf18439c4b4a6ae297e3ab14b9e1dcf3ede2,71784ef098f28410,0.5465089561309774,0.03433170271545044,1
data\raw\ascending_triangle\ascending_triangle_0089.jpg,ascending_triangle,keep,kept,data\processed\clean\ascending_triangle\ascending_triangle_0081.png,,jpg,1920,1080,b5e7974b9e99dcbe6f9eaa8be5181cee469fef35874ad309ab2769aef98b549e,8309a787c9830387,5.761358576335222,0.01594441985899298,1
